Name,Nationality,Age,Height(cm),Weight(kg),Overall,Potential,Club,Preferred Foot,W/F,Best Position,Value(Thousand$),IR
G. Crettaz,Argentina,20,181,78,61,73,Málaga CF,Right,1,GK,700.0,1
A. Pembélé,France,19,180,70,61,73,Paris FC,Right,1,RW,775.0,1
L. Carissoni,Italy,23,185,78,61,69,Torino,Right,1,RB,700.0,1
J. Labadie,England,29,188,89,61,61,Newport County,Right,1,CDM,325.0,1
S. Rumbullaku,Albania,28,172,71,61,61,UTA Arad,Left,1,LB,300.0,1
M. Fossey,United States,21,179,76,61,72,Shrewsbury,Right,1,RB,700.0,1
B. Wilson,England,27,186,74,61,64,Coventry City,Right,1,GK,325.0,1
A. Koura,Burkina Faso,27,173,70,61,61,FC Lausanne-Sport,Right,1,ST,350.0,1
T. Lawal,Nigeria,20,195,84,61,72,LASK Linz,Right,1,GK,625.0,1
K. Guthrie,England,27,191,70,61,62,Bradford City,Right,1,ST,375.0,1
M. Ambrosiewicz,Poland,22,184,75,61,68,Wisła Płock,Right,1,CDM,675.0,1
M. Šarkić,Montenegro,22,192,73,61,71,Shrewsbury,Right,1,GK,650.0,1
S. Nakahara,Japan,26,177,68,61,64,Vegalta Sendai,Right,1,RM,425.0,1
J. Rahou,France,17,176,69,61,74,Olympique de Marseille,Right,1,CAM,750.0,1
F. Baak,Germany,21,191,90,61,72,Hertha BSC,Right,1,CB,700.0,1
M. Dárdai,Germany,18,188,77,61,76,Hertha BSC,Left,1,CB,725.0,1
Kim Young Bin,Korea Republic,28,184,79,61,62,Gangwon FC,Right,1,CB,300.0,1
S. Mende,Germany,26,183,71,61,64,VfB Lübeck,Right,1,CDM,425.0,1
Zhu Jianrong,China PR,28,185,82,61,61,Qingdao Huanghai F.C.,Left,1,ST,325.0,1
A. Abdallah,Comoros,22,170,68,61,70,Grenoble Foot 38,Left,1,LB,700.0,1
E. Dos Santos Haesler,Germany,21,196,90,61,69,SV Werder Bremen,Right,1,GK,650.0,1
M. Dembélé,France,23,184,75,61,69,Rodez Aveyron Football,Right,1,ST,725.0,1
S. Amin,Syria,22,182,68,61,67,Örebro SK,Right,1,CM,525.0,1
G. Woods,England,29,185,78,61,61,Aberdeen,Right,1,GK,220.0,1
N. Fitzgerald,Australia,28,175,70,61,61,Newcastle Jets,Right,1,LM,325.0,1
G. Zappa,Italy,20,183,75,61,76,Cagliari,Right,1,RB,750.0,1
E. Rivas,Venezuela,18,189,77,61,74,Estudiantes de Mérida,Right,1,ST,775.0,1
Javi Martínez,Spain,20,180,74,61,76,CA Osasuna,Right,1,ST,800.0,1
L. Jürgensen,Germany,22,192,82,61,69,SC Verl,Left,1,CB,700.0,1
J. Gelhardt,England,18,175,76,61,81,Leeds United,Left,1,ST,900.0,1
P. Ba,Senegal,22,187,72,61,69,ESTAC Troyes,Right,1,ST,750.0,1
K. Sessa,Germany,19,175,70,61,76,1. FC Heidenheim 1846,Right,1,CAM,775.0,1
L. Montsma,Netherlands,22,191,84,61,72,Lincoln City,Right,1,CB,700.0,1
J. Mitchell-Lawson,England,20,168,60,61,73,Bristol Rovers,Right,1,RM,800.0,1
A. Al Yousef,Saudi Arabia,30,176,67,61,61,Al Adalah,Left,1,LB,275.0,1
Julio Gracia,Spain,22,170,66,61,71,Getafe CF,Right,1,CM,725.0,1
M. Real,United States,20,180,73,61,71,Philadelphia Union,Left,1,LB,675.0,1
K. Lazaridis,Greece,17,173,71,61,71,Panathinaikos FC,Left,1,LB,650.0,1
M. Youssouf,Comoros,32,168,64,61,61,AC Ajaccio,Left,1,RM,250.0,1
Hwang Tae Hyun,Korea Republic,21,180,74,61,71,Daegu FC,Right,1,RB,700.0,1
L. Vejmola,Czech Republic,25,187,78,61,67,FK Haugesund,Right,1,GK,400.0,1
N. Madsen,Denmark,20,190,76,61,72,FC Midtjylland,Right,1,CM,675.0,1
A. Velagic,Germany,28,189,86,61,61,Türkgücü München,Right,1,CB,275.0,1
B. Gazzolo,Chile,22,182,77,61,69,CD Huachipato,Right,1,CB,700.0,1
N. Gioacchini,United States,19,183,73,61,76,Stade Malherbe Caen,Right,1,ST,775.0,1
O. Imeri,Albania,20,175,72,61,72,Antalyaspor,Right,1,RM,725.0,1
R. Kobiljar,Bosnia Herzegovina,24,175,67,61,68,KFC Uerdingen 05,Right,1,CAM,650.0,1
C. Gauseth,Norway,36,189,87,61,61,Mjøndalen IF,Right,1,CM,100.0,1
I. Nuhu,Ghana,18,165,55,61,77,KAS Eupen,Right,1,CAM,825.0,1
O. Ademi,Switzerland,28,189,85,61,61,MSV Duisburg,Right,1,ST,325.0,1
Lee Seung Mo,Korea Republic,22,185,70,61,70,Pohang Steelers,Right,1,CM,700.0,1
A. Al Amri,Saudi Arabia,23,185,74,61,71,Al Nassr,Right,1,CB,675.0,1
Marc Baró,Spain,20,180,72,61,69,Cádiz CF,Left,1,LB,675.0,1
E. Wiemberg,Chile,26,178,75,61,64,Unión La Calera,Left,1,LB,400.0,1
A. Boupendza,Gabon,23,180,79,61,68,Hatayspor,Right,1,ST,675.0,1
S. Lavelle,Scotland,23,188,76,61,69,Morecambe,Right,1,CB,675.0,1
I. Gruev,Bulgaria,20,189,74,61,78,SV Werder Bremen,Left,1,CM,825.0,1
F. Lach,Germany,23,190,80,61,68,SC Verl,Right,1,CB,600.0,1
B. Figueroa,Chile,21,181,72,61,75,Audax Italiano,Right,1,RM,800.0,1
A. Lewis,Wales,22,183,85,61,72,Lincoln City,Right,1,CB,700.0,1
O. Bertel,Colombia,23,174,63,61,68,Millonarios FC,Left,1,LB,625.0,1
C. Drameh,England,18,184,73,61,81,Leeds United,Right,1,RB,875.0,1
K. Haug,Norway,22,187,70,61,71,Vålerenga Fotball,Right,1,GK,650.0,1
A. Dobre,Romania,21,178,71,61,72,Dijon FCO,Right,1,RM,725.0,1
N. Fernández,Chile,20,173,67,61,75,Audax Italiano,Right,1,RWB,800.0,1
T. Raemaekers,Belgium,19,194,85,61,75,Oud-Heverlee Leuven,Right,1,CB,725.0,1
S. Korb,Germany,27,174,72,61,63,SC Verl,Right,1,CDM,350.0,1
L. Angol,England,25,187,75,61,64,Leyton Orient,Right,1,RM,450.0,1
I. Sekigawa,Japan,19,182,72,61,73,Kashima Antlers,Right,1,CB,725.0,1
R. López,Uruguay,26,191,83,61,63,Sagan Tosu,Right,1,ST,400.0,1
P. Grauschopf,Germany,21,184,74,61,72,SpVgg Unterhaching,Left,1,CB,700.0,1
A. Balanta,Colombia,20,178,72,61,76,Deportivo Cali,Right,1,CDM,750.0,1
A. Virginius,France,17,181,62,61,80,FC Sochaux-Montbéliard,Right,1,RW,825.0,1
L. Lumeka,England,21,171,71,61,73,ESTAC Troyes,Right,1,CAM,800.0,1
F. Al Aiyaf,Saudi Arabia,28,167,62,61,61,Al Hazem,Left,1,LM,325.0,1
A. Riel,Denmark,30,182,73,61,61,Lyngby BK,Right,1,ST,325.0,1
Boubacar Hanne,Portugal,21,175,68,61,74,Gil Vicente FC,Left,1,LM,800.0,1
D. Whitehead,England,26,179,69,61,63,Port Vale,Right,1,CAM,400.0,1
W. Omsberg,United States,24,193,82,61,68,Chicago Fire,Right,1,CB,600.0,1
T. van Leeuwen,Netherlands,18,176,71,61,78,FC Twente,Right,1,CAM,825.0,1
B. Satkus,Lithuania,19,192,83,61,71,1. FC Nürnberg,Right,1,CB,650.0,1
Valdeci,Brazil,25,178,75,61,64,Sportivo Luqueño,Right,1,ST,450.0,1
A. Bajrovic,Sweden,24,179,74,61,66,Sepsi OSK,Right,1,CAM,500.0,1
Lee Chang Yong,Korea Republic,29,180,76,61,61,Seongnam FC,Right,1,CB,275.0,1
Pedro Martelo,Portugal,20,190,84,61,77,FC Paços de Ferreira,Right,1,ST,875.0,1
C. Stokes,England,29,185,83,61,61,Forest Green Rovers,Left,1,CB,275.0,1
L. Gottwalt,Germany,22,192,90,61,69,1. FC Kaiserslautern,Right,1,CB,700.0,1
A. McCalmont,Northern Ireland,20,173,75,61,76,Oldham Athletic,Right,1,CAM,750.0,1
Camilo,Brazil,21,178,72,61,75,Olympique Lyonnais,Right,1,CAM,800.0,1
D. Mehmet,Turkey,27,192,80,61,64,Dundee United,Right,1,GK,325.0,1
N. Knothe,Germany,21,187,81,61,73,1. FC Nürnberg,Right,1,CB,750.0,1
M. Pineda,United States,22,185,79,61,70,Chicago Fire,Right,1,CB,700.0,1
J. Parker,Antigua & Barbuda,29,180,76,61,61,Wycombe Wanderers,Right,1,RW,325.0,1
M. Neill,Australia,25,176,72,61,64,Newcastle Jets,Left,1,LB,400.0,1
K. Niemczycki,Poland,20,189,84,61,74,Cracovia,Right,1,GK,700.0,1
R. Fernández,Paraguay,19,188,82,61,74,Club Guaraní,Left,1,CB,725.0,1
E. Edwards Jr.,United States,28,191,93,61,64,DC United,Right,1,GK,300.0,1
K. Tobers,Latvia,19,189,75,61,73,Lechia Gdańsk,Right,1,CB,725.0,1
Javi Vázquez,Spain,19,180,72,61,74,Sevilla FC,Right,1,LWB,750.0,1
T. Uchida,Japan,22,177,70,61,67,FC Tokyo,Right,1,RM,525.0,1
M. Gouras,Germany,22,175,69,61,69,1. FC Saarbrücken,Left,1,LM,725.0,1
Park Jun Hui,Korea Republic,29,184,80,61,61,GwangJu FC,Right,1,CDM,275.0,1
H. Nakamura,Japan,22,177,72,61,66,FC Tokyo,Right,1,CB,475.0,1
J. Isita,Bolivia,26,180,76,61,64,Always Ready,Right,1,ST,425.0,1
M. Tørnes,Denmark,34,186,83,61,61,Brøndby IF,Right,1,GK,60.0,1
Y. Ammour,France,21,182,70,61,75,Montpellier HSC,Left,1,ST,800.0,1
Costinha,Portugal,20,181,70,61,72,Rio Ave FC,Right,1,RB,675.0,1
C. Guy,England,23,178,64,61,68,Carlisle United,Right,1,CM,650.0,1
J. Doig,Scotland,18,184,71,61,75,Hibernian,Left,1,LB,725.0,1
A. Tveter,Norway,29,190,86,61,61,Sarpsborg 08 FF,Left,1,ST,325.0,1
J. Šutalo,Croatia,20,190,82,61,75,Dinamo Zagreb,Right,1,CB,750.0,1
B. Barry,England,25,183,76,61,65,Barrow,Right,1,RWB,425.0,1
K. Froese,Canada,24,172,71,61,66,1. FC Saarbrücken,Right,1,CAM,500.0,1
Túlio Nevinha,Brazil,20,188,80,61,61,Ceará Sporting Club,Right,1,CB,325.0,1
M. Cortés,Colombia,23,173,66,61,70,Independiente Medellín,Left,1,LM,725.0,1
�. Târnovanu,Romania,20,197,87,61,75,FCSB (Steaua),Right,1,GK,700.0,1
H. Hope,Barbados,26,179,76,61,62,Swindon Town,Right,1,ST,400.0,1
F. Gattoni,Argentina,21,183,72,61,76,San Lorenzo de Almagro,Right,1,CB,750.0,1
M. Tučić,Slovenia,23,186,75,61,66,Oud-Heverlee Leuven,Left,1,ST,500.0,1
L. Seydoux,Switzerland,22,174,68,61,71,BSC Young Boys,Right,1,LB,700.0,1
A. Gündüz,Turkey,19,189,84,61,79,Trabzonspor,Right,1,CB,800.0,1
L. Spence,Scotland,24,179,75,61,68,Scunthorpe United,Right,1,CM,650.0,1
A. Nguiamba,France,21,179,73,61,76,AS Nancy Lorraine,Left,1,CDM,775.0,1
A. Herzog,Germany,22,177,77,61,70,FC Hansa Rostock,Right,1,RM,725.0,1
L. Sandoval,Colombia,21,183,76,61,74,Junior FC,Right,1,ST,800.0,1
Luiz Júnior,Brazil,19,194,92,61,73,Famalicão,Right,1,GK,675.0,1
J. Hare,England,25,183,78,61,62,Bristol Rovers,Right,1,RWB,350.0,1
M. Rouai,France,19,184,76,61,77,CD Nacional,Right,1,CAM,850.0,1
T. Marsh,England,26,180,80,61,62,Stevenage,Right,1,LM,375.0,1
Pedro López,Spain,23,177,75,61,72,CD Lugo,Right,1,CB,675.0,1
Guo Quanbo,China PR,22,184,81,61,71,Beijing Sinobo Guoan FC,Right,1,GK,650.0,1
A. Al Ammar,Saudi Arabia,26,177,70,61,63,Damac FC,Left,1,LM,375.0,1
J. Gutjahr,United States,22,178,73,61,67,Chicago Fire,Right,1,RM,500.0,1
D. Cirkin,England,18,182,72,61,83,Tottenham Hotspur,Left,1,LB,1000.0,1
Júlio Romão,Brazil,22,183,75,61,67,Santa Clara,Right,1,CDM,475.0,1
M. Al Qarni,Saudi Arabia,30,174,69,61,61,Al Wehda,Right,1,CDM,275.0,1
J. Ogedi-Uzokwe,England,26,185,76,61,62,Sligo Rovers,Right,1,LM,375.0,1
S. Kennedy,Canada,23,193,80,61,68,SSV Jahn Regensburg,Left,1,CB,600.0,1
D. Torrico,Bolivia,32,176,76,61,61,Jorge Wilstermann,Right,1,LM,250.0,1
T. Masuda,Japan,31,185,80,61,61,Sanfrecce Hiroshima,Right,1,GK,170.0,1
B. Michel,United States,22,178,75,61,68,Orlando City SC,Right,1,ST,675.0,1
Pablo Pérez,Spain,18,170,65,61,74,Sevilla FC,Left,1,LB,725.0,1
D. Gardner,England,30,185,80,61,61,Wigan Athletic,Right,1,CAM,325.0,1
H. Massoudi,Belgium,20,175,67,61,72,Sint-Truidense VV,Right,1,CAM,725.0,1
E. Selvik,Norway,22,187,75,61,70,Odds BK,Left,1,GK,650.0,1
R. Draper,England,31,196,87,61,61,Ross County FC,Right,1,CB,275.0,1
J. Ceesay,Sweden,22,178,69,61,70,Helsingborgs IF,Right,1,RM,725.0,1
E. Agüero,Argentina,25,175,73,61,65,River Plate Asunción,Right,1,CDM,450.0,1
A. Páez,Venezuela,25,182,71,61,65,Estudiantes de Mérida,Right,1,CAM,450.0,1
M. Fritz,Germany,26,192,84,61,64,Viktoria Köln,Right,1,CB,375.0,1
D. Bumberger,Austria,21,185,75,61,70,SCR Altach,Left,1,CB,700.0,1
Matis Carvalho,Portugal,21,187,80,61,74,Montpellier HSC,Right,1,GK,700.0,1
A. Medina,Uruguay,22,171,68,61,68,Liverpool Fútbol Club,Right,1,RM,675.0,1
S. Sidibe,Belgium,19,172,70,61,75,FC Emmen,Left,1,LM,775.0,1
K. Kinoshita,Japan,25,182,85,61,64,Stabæk Fotball,Right,1,ST,450.0,1
T. Bakinson,England,21,191,82,61,74,Bristol City,Right,1,CDM,800.0,1
N. González,Argentina,21,170,68,61,68,Defensa y Justicia,Right,1,ST,675.0,1
E. List,England,23,174,74,61,66,Stevenage,Right,1,RM,500.0,1
E. Ortega,Mexico,23,176,61,61,70,Club Atlas,Right,1,CAM,725.0,1
T. Väyrynen,Finland,27,191,89,61,62,HJK Helsinki,Right,1,ST,375.0,1
H. Igarzabal,Argentina,20,189,85,61,69,Arsenal de Sarandí,Right,1,CB,675.0,1
Kim Jin Gyu,Korea Republic,23,176,67,61,70,Busan IPark,Right,1,CAM,725.0,1
Samuel Costa,Portugal,19,183,75,61,76,UD Almería,Left,1,CDM,775.0,1
D. Marx,Germany,20,175,67,61,73,VfL Wolfsburg,Right,1,CAM,750.0,1
M. Guthörl,Germany,21,180,79,61,71,SV Wehen Wiesbaden,Right,1,RB,700.0,1
N. Townsend,England,25,181,80,61,63,Newport County,Right,1,GK,325.0,1
E. Calvillo,United States,22,170,67,61,70,San Jose Earthquakes,Right,1,CAM,725.0,1
L. Coordes,Dominican Republic,21,180,74,61,73,FC St. Pauli,Right,1,RM,800.0,1
Kim Won Gun,Korea Republic,28,186,77,61,62,FC Seoul,Right,1,CB,300.0,1
C. Kelman,United States,18,175,70,61,77,Southend United,Right,1,ST,825.0,1
Alfon,Spain,21,172,60,61,73,RC Celta,Right,1,ST,800.0,1
J. Nilsson,Sweden,25,180,75,61,62,Mjällby AIF,Right,1,RWB,350.0,1
L. Dietz,Germany,23,190,79,61,72,FC Würzburger Kickers,Right,1,CDM,675.0,1
N. Fernández Mercau,Argentina,20,172,66,61,73,San Lorenzo de Almagro,Left,1,LM,750.0,1
A. Jonjić,Germany,20,183,75,61,73,FC Erzgebirge Aue,Right,1,RM,800.0,1
A. Toufiqui,France,21,175,69,61,75,Stade Malherbe Caen,Left,1,CAM,800.0,1
R. Veselinović,Serbia,21,188,77,61,69,Vancouver Whitecaps FC,Right,1,CB,700.0,1
I. Aaneba,France,21,182,75,61,72,RC Strasbourg Alsace,Right,1,CB,700.0,1
M. Tillman,Germany,18,181,75,61,81,Bayern München II,Right,1,ST,900.0,1
V. Besuijen,Netherlands,19,169,62,61,76,ADO Den Haag,Right,1,RM,775.0,1
J. Grant,England,21,183,78,61,70,Bristol Rovers,Right,1,CB,700.0,1
J. Romaña,Colombia,21,185,79,61,74,Club Guaraní,Right,1,CB,750.0,1
Y. Oki,Japan,20,184,82,61,72,Kashima Antlers,Right,1,GK,625.0,1
R. Tone,Japan,28,182,75,61,62,Oita Trinita,Right,1,CB,300.0,1
Y. Yamamoto,Japan,22,173,64,61,68,Gamba Osaka,Right,1,CAM,675.0,1
W. Omari,France,20,185,78,61,72,Stade Rennais FC,Right,1,CB,675.0,1
A. Putna,United States,25,187,81,61,66,Real Salt Lake,Right,1,GK,375.0,1
A. Chakraborty,India,34,189,79,61,61,No Club,Left,1,CB,0.0,1
A. Oviedo,Paraguay,24,181,74,61,66,Club Libertad,Right,1,ST,500.0,1
N. Atangana,France,30,187,72,61,61,Exeter City,Right,1,CB,325.0,1
A. Swaminathan,India,28,173,65,61,61,No Club,Left,1,CAM,0.0,1
L. Kitching,England,20,191,80,61,71,Forest Green Rovers,Left,1,CB,675.0,1
R. Fulton,Scotland,24,191,70,61,67,Hamilton Academical FC,Left,1,GK,425.0,1
D. Özkan,Turkey,20,185,75,61,70,Antalyaspor,Right,1,GK,625.0,1
D. Pillai,India,32,178,70,61,61,No Club,Right,1,RM,0.0,1
A. Weidinger,Germany,23,197,93,61,66,SSV Jahn Regensburg,Right,1,GK,400.0,1
T. Lauritsen,Norway,22,192,85,61,70,Odds BK,Right,1,ST,750.0,1
E. Pérez,Bolivia,27,174,66,61,61,Nacional Potosí,Left,1,RM,350.0,1
C. Waters,Scotland,24,168,72,61,66,Kilmarnock,Left,1,LB,450.0,1
M. Poplatnik,Slovenia,27,178,76,61,61,Livingston FC,Right,1,ST,350.0,1
B. Palacios,Peru,22,176,63,61,68,Cusco FC,Right,1,RM,675.0,1
C. Bayiha,Canada,21,173,70,61,71,Montreal Impact,Right,1,CAM,725.0,1
N. Diallo,France,24,178,72,61,67,Stade Rennais FC,Left,1,LB,475.0,1
M. Caseras,Uruguay,28,168,63,61,61,Club Plaza Colonia,Left,1,CM,325.0,1
O. Sowunmi,England,24,199,93,61,66,Colchester United,Right,1,CB,450.0,1
Chen Xiao,China PR,30,184,79,61,61,Hebei China Fortune FC,Right,1,CB,275.0,1
M. Flis,Poland,26,185,75,61,65,Stal Mielec,Left,1,LB,400.0,1
O. Camara,Guinea,21,167,62,61,75,Vålerenga Fotball,Right,1,RM,800.0,1
A. Ginti,India,26,170,69,61,62,No Club,Left,1,LB,0.0,1
I. Elmkies,Israel,20,172,69,61,77,ADO Den Haag,Right,1,CM,850.0,1
A. Hartigan,England,20,178,68,61,71,AFC Wimbledon,Right,1,RM,725.0,1
C. Achim,Romania,24,188,78,61,66,FC Voluntari,Right,1,CB,450.0,1
E. Viveros,Ecuador,24,196,90,61,69,LDU Quito,Right,1,GK,625.0,1
H. Plazas,Venezuela,27,189,83,61,62,Estudiantes de Mérida,Right,1,CB,350.0,1
D. Kocyła,Poland,17,180,66,61,77,Wisła Płock,Right,1,RM,825.0,1
M. Pérez,Mexico,27,169,63,61,62,Mazatlán FC,Right,1,CAM,375.0,1
F. Flores,Argentina,18,182,76,61,78,San Lorenzo de Almagro,Right,1,CB,775.0,1
Han Eui Kwon,Korea Republic,26,180,72,61,64,Suwon Samsung Bluewings,Right,1,RM,425.0,1
B. Moore,United States,28,191,87,61,63,Atlanta United,Left,1,GK,275.0,1
A. Trujillo,Venezuela,21,160,57,61,68,Zamora FC,Right,1,RB,625.0,1
G. Kilama,Cameroon,21,182,80,61,71,Chamois Niortais Football Club,Left,1,CDM,700.0,1
M. Bauer,Germany,20,189,84,61,73,SpVgg Greuther Fürth,Right,1,CB,750.0,1
A. Al Joui,Saudi Arabia,25,171,67,61,64,Al Taawoun,Right,1,RM,425.0,1
Rodrigo Gomes,Portugal,16,171,57,61,81,SC Braga,Right,1,CAM,900.0,1
D. Trichard,France,25,176,70,61,66,Clermont Foot 63,Left,1,LB,450.0,1
Javi López,Spain,18,183,75,61,75,Deportivo Alavés,Left,1,LB,725.0,1
I. Eğribayat,Turkey,22,193,79,61,71,Göztepe SK,Right,1,GK,650.0,1
R. Hajal,Sweden,18,180,75,61,79,SC Heerenveen,Right,1,CAM,825.0,1
O. Threlkeld,England,26,182,75,61,63,Salford City,Right,1,CB,375.0,1
V. Gendrey,France,20,179,75,61,73,Amiens SC,Right,1,RB,750.0,1
M. Acuña,Venezuela,23,178,78,61,66,Aragua FC,Right,1,CB,450.0,1
Chico,Brazil,25,186,92,61,64,Querétaro,Right,1,ST,450.0,1
H. Dunk,England,29,184,73,61,61,Cambridge United,Left,1,LB,300.0,1
D. Newton,England,29,178,75,61,61,Stevenage,Left,1,ST,325.0,1
L. Chevalier,France,18,187,78,61,83,LOSC Lille,Right,1,GK,950.0,1
S. Quigley,England,27,194,83,61,61,Barrow,Right,1,ST,350.0,1
D. Ventúra,Slovakia,24,179,76,61,66,Academica Clinceni,Right,1,RWB,450.0,1
M. Funk,Germany,24,187,88,61,69,SpVgg Greuther Fürth,Right,1,GK,625.0,1
S. Hausner,Denmark,20,187,79,61,76,Aarhus GF,Left,1,CB,750.0,1
Jhonny Lucas,Brazil,20,170,68,61,72,Sint-Truidense VV,Right,1,CDM,725.0,1
J. Ruiz,Colombia,20,177,74,61,69,Gil Vicente FC,Right,1,CAM,725.0,1
R. Crawford,Scotland,26,179,75,61,63,Motherwell,Right,1,RM,400.0,1
C. Seedorf,Netherlands,25,181,80,61,65,FC Emmen,Right,1,RB,425.0,1
Asier Córdoba,Spain,20,184,75,61,75,CA Osasuna,Left,1,LM,800.0,1
M. Klimowicz,Argentina,19,179,71,61,74,VfB Stuttgart,Right,1,CAM,775.0,1
M. Cooper,England,20,186,75,61,74,Plymouth Argyle,Right,1,GK,700.0,1
T. Sabitzer,Austria,19,182,78,61,75,LASK Linz,Right,1,ST,775.0,1
J. Indacoechea,Argentina,19,172,71,61,78,Club Atlético Aldosivi,Right,1,CM,850.0,1
Matchoi Djaló,Portugal,17,175,68,61,75,FC Paços de Ferreira,Right,1,RM,750.0,1
E. Cano,Bolivia,21,170,60,61,66,Club Bolívar,Left,1,LM,500.0,1
F. Pérez,Argentina,21,179,72,61,72,Club Atlético Aldosivi,Right,1,CAM,750.0,1
Y. Keitel,Germany,20,186,85,61,72,SC Freiburg,Right,1,CDM,675.0,1
F. Myhre,Norway,21,180,75,61,76,Vålerenga Fotball,Right,1,CM,775.0,1
A. Leifsson,Iceland,21,193,80,61,71,Strømsgodset IF,Right,1,CB,700.0,1
O. Karakullukçu,Turkey,28,188,76,61,61,BB Erzurumspor,Right,1,ST,325.0,1
A. Chandarov,Bulgaria,21,183,73,61,71,Academica Clinceni,Right,1,CAM,725.0,1
D. Sadiković,Bosnia Herzegovina,25,188,84,61,66,Cracovia,Right,1,CM,475.0,1
N. Cameron,England,28,188,78,61,61,Wigan Athletic,Right,1,CB,275.0,1
P. Mullin,England,25,178,71,61,64,Cambridge United,Right,1,ST,450.0,1
A. Rivero,Argentina,22,189,74,61,70,Arsenal de Sarandí,Right,1,GK,650.0,1
L. Gibson,England,19,185,73,61,78,Reading,Left,1,CB,800.0,1
R. Richard,France,18,182,75,61,78,Olympique de Marseille,Right,1,RB,800.0,1
Álex Martínez,Spain,21,164,63,61,73,UD Logroñés,Right,1,RM,800.0,1
B. Prokopič,Austria,32,181,75,61,61,FC Vaduz,Right,1,CM,250.0,1
J. Stevens,England,20,178,70,61,76,Swindon Town,Right,1,RM,800.0,1
A. Álvarez,Argentina,20,175,65,61,74,Godoy Cruz,Right,1,RWB,750.0,1
Peteiro,Spain,22,176,71,61,72,CF Fuenlabrada,Right,1,CB,700.0,1
Adrián Bernabé,Spain,19,175,68,61,77,Manchester City,Left,1,CAM,850.0,1
C. Viet,Germany,21,183,78,61,68,FC St. Pauli,Right,1,RB,625.0,1
K. Fujimoto,Japan,21,176,69,61,70,Gil Vicente FC,Left,1,LM,725.0,1
J. Valoyes,Colombia,33,190,77,61,61,Sport Huancayo,Right,1,CB,160.0,1
Sui Weijie,China PR,37,188,88,61,61,Chongqing Dangdai Lifan FC SWM Team,Right,1,GK,35.0,1
E. Emegha,Netherlands,17,195,83,61,78,Sparta Rotterdam,Right,1,ST,825.0,1
M. Byrne,Republic of Ireland,31,172,76,61,61,Shelbourne FC,Right,1,CM,275.0,1
S. Mallon,Republic of Ireland,21,178,64,61,74,Derry City,Left,1,LM,800.0,1
M. Konaté,Guinea,26,191,84,61,65,Sint-Truidense VV,Right,1,CB,400.0,1
A. Quintana,Colombia,25,195,90,61,66,Atlético Nacional,Left,1,GK,375.0,1
J. Kade,Germany,21,182,67,61,75,SG Dynamo Dresden,Left,1,CAM,800.0,1
F. Arhin,Ghana,21,166,65,61,72,Östersunds FK,Left,1,CAM,725.0,1
E. Zuelli,Italy,18,181,70,61,75,Chievo Verona,Right,1,CAM,725.0,1
S. Härtel,Germany,21,177,73,61,70,FC Erzgebirge Aue,Left,1,LWB,700.0,1
M. Shinada,Japan,20,180,66,61,69,FC Tokyo,Right,1,CAM,725.0,1
Li Shuai,China PR,37,193,88,61,61,Shanghai Greenland Shenhua FC,Right,1,GK,35.0,1
J. Oosterwolde,Netherlands,19,186,74,61,72,FC Twente,Left,1,LB,675.0,1
R. Laidlaw,Scotland,27,201,85,61,64,Ross County FC,Right,1,GK,325.0,1
A. Çelebi,Turkey,21,195,78,61,73,Alanyaspor,Right,1,CB,750.0,1
T. Harwood-Bellis,England,18,185,72,61,82,Manchester City,Right,1,CB,1000.0,1
S. Sissoko,Mali,20,181,70,61,73,KV Kortrijk,Right,1,CDM,750.0,1
Ricardo Santos,Portugal,25,196,100,61,66,Bolton Wanderers,Right,1,CB,425.0,1
Lim Jae Hyeok,Korea Republic,21,180,66,61,73,Daegu FC,Right,1,ST,800.0,1
C. Cooke,England,23,172,72,61,68,Bradford City,Right,1,CM,650.0,1
E. Østensen,Norway,27,183,80,61,61,Viking FK,Right,1,LW,350.0,1
J. Aitchison,Scotland,20,177,69,61,76,Stevenage,Right,1,CAM,800.0,1
D. Ayala,Argentina,17,173,62,61,82,Estudiantes de La Plata,Left,1,LB,975.0,1
J. Carabalí,Ecuador,23,175,69,61,67,Universidad Católica del Ecuador,Right,1,CAM,525.0,1
S. Karweina,Germany,21,171,69,61,70,MSV Duisburg,Right,1,ST,750.0,1
Y. Otto,Germany,21,180,71,61,72,Eintracht Braunschweig,Right,1,ST,725.0,1
M. Awoudja,Germany,22,188,81,61,71,VfB Stuttgart,Right,1,CB,700.0,1
J. Schmied,Switzerland,21,188,84,61,68,FC Vaduz,Right,1,CB,625.0,1
T. Szántó,Hungary,24,181,73,61,66,SK Rapid Wien,Right,1,CAM,500.0,1
C. Villagra,Paraguay,31,181,76,61,61,Sol de América,Left,1,ST,275.0,1
D. Gómez,Venezuela,28,182,80,61,61,AC Mineros de Guayana,Right,1,LW,325.0,1
H. Zackrisson,Sweden,25,189,93,61,66,Varbergs BoIS,Right,1,CB,425.0,1
L. Colombo,Italy,18,183,82,61,79,Milan,Left,1,ST,825.0,1
J. Ertlthaler,Austria,23,169,62,61,67,TSV Hartberg,Right,1,CAM,525.0,1
E. Iandolo,England,22,186,71,61,68,Swindon Town,Right,1,LB,625.0,1
B. Coker,England,31,180,74,61,61,Stevenage,Left,1,LB,240.0,1
C. Wilkinson,Republic of Ireland,25,191,77,61,63,Leyton Orient,Left,1,ST,425.0,1
